Iteration,PositiveHeat,NegativeHeat,CellCount,IterationAverageNeighbours,IterationDensity
564,636,80,84521,2.0091102,0.24280736
565,636,610,85077,2.0343454,0.24357753
566,644,92,85103,2.009095,0.2428302
567,644,612,85655,2.0342536,0.24358095
568,640,80,85687,2.009033,0.2428529
569,640,614,86247,2.0341113,0.24361838
570,648,92,86273,2.009018,0.24287544
571,648,616,86829,2.034021,0.2436218
572,644,80,86861,2.008957,0.24289785
573,644,618,87425,2.0338805,0.24365874
574,652,92,87451,2.0089421,0.24292012
575,652,620,88011,2.0337913,0.24366212
576,648,80,88043,2.008882,0.24294224
577,648,622,88611,2.0336528,0.24369858
578,656,92,88637,2.0088677,0.24296424
579,656,624,89201,2.0335646,0.24370193
580,652,80,89233,2.0088084,0.2429861
581,652,626,89805,2.033428,0.24373794
582,660,92,89831,2.0087943,0.24300782
583,660,628,90399,2.0333412,0.24374126
584,656,80,90431,2.008736,0.24302942
585,656,630,91007,2.0332062,0.2437768
586,664,92,91033,2.008722,0.24305086
587,664,632,91605,2.0331204,0.24378009
588,660,80,91637,2.0086646,0.24307218
589,660,634,92217,2.0329874,0.24381518
590,668,92,92243,2.008651,0.24309339
591,668,636,92819,2.0329027,0.24381845
592,664,80,92851,2.0085945,0.24311446
593,664,638,93435,2.0327713,0.2438531
594,672,92,93461,2.0085812,0.2431354
595,672,640,94041,2.032688,0.24385633
596,668,80,94073,2.0085254,0.2431562
597,668,642,94661,2.0325582,0.24389057
598,676,92,94687,2.0085123,0.24317689
599,676,644,95271,2.0324757,0.24389376
600,672,80,95303,2.0084572,0.24319744
601,672,646,95895,2.032348,0.24392757
602,680,92,95921,2.0084445,0.24321789
603,680,648,96509,2.0322664,0.24393074
604,676,80,96541,2.0083902,0.24323821
605,676,650,97137,2.0321403,0.24396412
606,684,92,97163,2.0083778,0.2432584
607,684,652,97755,2.0320597,0.24396726
608,680,80,97787,2.0083241,0.24327847
609,680,654,98387,2.0319352,0.24400024
610,688,92,98413,2.008312,0.24329844
611,688,656,99009,2.0318556,0.24400336
612,684,80,99041,2.0082593,0.24331827
613,684,658,99645,2.0317326,0.24403594
614,692,92,99671,2.0082471,0.243338
615,692,660,100271,2.0316541,0.24403903
616,688,80,100303,2.0081952,0.2433576
617,688,662,100911,2.0315328,0.24407122
618,696,92,100937,2.0081832,0.24337709
619,696,664,101541,2.0314553,0.24407427
620,692,80,101573,2.008132,0.24339648
621,692,666,102185,2.0313354,0.24410607
622,700,92,102211,2.0081205,0.24341574
623,700,668,102819,2.0312588,0.24410911
624,696,80,102851,2.00807,0.24343489
625,696,670,103467,2.0311403,0.24414054
626,704,92,103493,2.0080585,0.24345393
627,704,672,104105,2.0310647,0.24414353
628,700,80,104137,2.0080087,0.24347287
629,700,674,104757,2.030948,0.24417458
630,708,92,104783,2.0079975,0.2434917
631,708,676,105399,2.030873,0.24417756
632,704,80,105431,2.0079484,0.24351041
633,704,678,106055,2.0307577,0.24420825
634,712,92,106081,2.0079374,0.24352902
635,712,680,106701,2.0306838,0.2442112
636,708,80,106733,2.0078888,0.24354753
637,708,682,107361,2.0305698,0.24424152
638,716,92,107387,2.007878,0.24356593
639,716,684,108011,2.0304968,0.24424444
640,712,80,108043,2.0078301,0.24358422
641,712,686,108675,2.030384,0.24427441
642,720,92,108701,2.0078197,0.24360241
643,720,688,109329,2.030312,0.24427731
644,716,80,109361,2.0077724,0.2436205
645,716,690,109997,2.0302007,0.24430694
646,724,92,110023,2.007762,0.24363849
647,724,692,110655,2.0301297,0.24430981
648,720,80,110687,2.0077155,0.24365638
649,720,694,111327,2.0300198,0.2443391
650,728,92,111353,2.0077052,0.24367416
651,728,696,111989,2.0299494,0.24434194
652,724,80,112021,2.0076592,0.24369185
653,724,698,112665,2.0298407,0.2443709
654,732,92,112691,2.0076492,0.24370943
655,732,700,113331,2.029771,0.24437372
656,728,80,113363,2.007604,0.24372692
657,728,702,114011,2.0296638,0.24440233
658,736,92,114037,2.007594,0.24374433
659,736,704,114681,2.0295951,0.24440514
660,732,80,114713,2.0075493,0.24376161
661,732,706,115365,2.029489,0.24443343
662,740,92,115391,2.0075395,0.24377882
663,740,708,116039,2.029421,0.2444362
664,736,80,116071,2.0074954,0.24379593
665,736,710,116727,2.0293162,0.24446417
666,744,92,116753,2.0074859,0.24381295
667,744,712,117405,2.0292492,0.24446693
668,740,80,117437,2.0074422,0.24382988
669,740,714,118097,2.0291455,0.24449459
670,748,92,118123,2.007433,0.2438467
