Iteration,PositiveHeat,NegativeHeat,CellCount,IterationAverageNeighbours,IterationDensity
382,159,164,539,2.3821893,0.020232733
383,156,186,534,2.5543072,0.019937277
384,157,151,504,2.357143,0.018817205
385,152,150,510,2.5294118,0.0189099
386,197,124,512,2.390625,0.018882537
387,185,222,585,2.8478632,0.021460015
388,176,151,548,2.2992702,0.020102715
389,185,188,573,2.6143107,0.020987473
390,172,160,570,2.4385965,0.020877592
391,205,180,582,2.4776633,0.021091541
392,200,184,607,2.5205932,0.021997536
393,180,243,623,2.6869984,0.022423785
394,194,183,560,2.3428571,0.020050125
395,191,198,571,2.5884414,0.02033693
396,181,189,564,2.5780141,0.020087617
397,164,198,556,2.5755396,0.019772405
398,161,153,522,2.2873564,0.01846611
399,164,151,530,2.4490566,0.018651463
400,180,151,543,2.4714549,0.019108953
401,185,184,572,2.5524476,0.019994408
402,175,179,573,2.4677138,0.020029362
403,183,175,569,2.397188,0.019786486
404,186,199,577,2.5511265,0.02006468
405,170,194,564,2.496454,0.019481866
406,185,156,540,2.3,0.018652849
407,158,203,569,2.6608083,0.019654578
408,172,140,524,2.187023,0.018194444
409,170,188,556,2.5971222,0.019177705
410,167,145,538,2.2936802,0.018460695
411,182,187,560,2.5785713,0.019018508
412,192,177,555,2.3675675,0.0188487
413,182,188,570,2.540351,0.01923077
414,186,190,564,2.4609928,0.01902834
415,181,206,560,2.5321429,0.018796992
416,186,157,535,2.3252337,0.017866684
417,177,188,564,2.5921986,0.018712053
418,186,173,553,2.4014466,0.018347101
419,194,191,566,2.5618374,0.018683568
420,192,191,569,2.4780316,0.018782597
421,188,209,570,2.5473685,0.018693428
422,178,173,549,2.3934426,0.018004723
423,175,206,554,2.5595667,0.0180774
424,182,145,523,2.2638624,0.01706585
425,187,189,560,2.6035714,0.018155292
426,180,172,558,2.3691757,0.018090453
427,182,191,566,2.5017667,0.018258065
428,192,175,557,2.4452424,0.017967742
429,175,187,574,2.6341465,0.018305907
430,188,186,562,2.4661922,0.017923204
431,180,212,564,2.6205673,0.017809777
432,201,181,532,2.3909774,0.016799293
433,172,184,552,2.5652175,0.01731982
434,159,173,540,2.4296296,0.016943302
435,170,155,526,2.3688214,0.01642313
436,166,195,541,2.598891,0.01689147
437,168,164,512,2.34375,0.015884835
438,181,187,516,2.4728682,0.016008936
439,161,165,510,2.3921568,0.0157456
440,167,162,506,2.4782608,0.01554627
441,164,143,511,2.4266145,0.01552578
442,153,181,532,2.5902255,0.01640153
443,164,141,504,2.2420635,0.015462494
444,159,157,527,2.5047438,0.016168123
445,172,172,529,2.4007561,0.016207108
446,162,164,529,2.510397,0.016207108
447,157,169,527,2.5388994,0.016067073
448,173,165,515,2.361165,0.01570122
449,158,172,523,2.5659657,0.015846085
450,155,140,509,2.345776,0.015347042
451,159,169,524,2.5839694,0.015722988
452,166,145,514,2.3463035,0.01542293
453,168,175,535,2.553271,0.015877256
454,166,131,528,2.3219697,0.015669515
455,191,185,563,2.5612788,0.016549088
456,186,156,569,2.4393673,0.016725456
457,186,207,599,2.6444073,0.017416336
458,217,177,578,2.415225,0.016805746
459,189,227,618,2.682848,0.017800052
460,208,180,580,2.3,0.016863897
461,209,209,608,2.5953948,0.017487345
462,230,200,608,2.4177632,0.017487345
463,237,225,638,2.5830722,0.01817871
464,222,218,650,2.6153846,0.018607581
465,220,242,654,2.5626912,0.018521665
466,196,234,632,2.5537975,0.017898612
467,193,206,594,2.3265994,0.016744185
468,201,195,581,2.454389,0.016301908
469,187,203,587,2.5008519,0.01637104
470,195,164,571,2.301226,0.015851425
471,192,224,602,2.6877077,0.01671201
472,197,163,570,2.2982457,0.016120821
473,190,214,604,2.6324503,0.016980125
474,185,191,580,2.3551724,0.016305417
475,175,180,574,2.4947736,0.016061336
476,186,165,569,2.4147627,0.015921429
477,171,169,590,2.6101694,0.01641077
478,194,189,592,2.4898648,0.0164664
479,213,171,597,2.4623115,0.01652824
480,192,229,639,2.7480438,0.01769103
481,190,180,602,2.4551494,0.016723616
482,203,202,612,2.5915034,0.016921971
483,212,193,613,2.4730833,0.016870786
484,207,228,632,2.6329114,0.017313171
485,216,191,611,2.4909983,0.016639434
486,198,233,636,2.710692,0.017240444
487,204,181,601,2.3960066,0.016367102
488,209,216,624,2.6378205,0.016915154
489,193,183,617,2.4440842,0.016627591
490,200,204,627,2.586922,0.016897082
491,214,221,623,2.5746388,0.01671227
492,202,210,616,2.6103897,0.016524492
493,209,201,608,2.506579,0.016215064
494,202,204,616,2.5292208,0.016504126
495,199,225,614,2.5667753,0.01637508
496,203,160,588,2.4047618,0.015681673
497,190,232,631,2.709984,0.016731188
498,198,169,589,2.3633277,0.01554623
499,190,222,618,2.682848,0.01623752
500,204,142,586,2.2696245,0.015396742
501,202,218,648,2.7592592,0.016851302
502,196,211,632,2.4810126,0.01643522
503,188,185,617,2.4343598,0.015901241
504,183,200,620,2.4967742,0.015978558
505,176,212,603,2.4875622,0.015451633
506,163,167,567,2.504409,0.014464286
507,174,181,563,2.5328596,0.014298413
508,154,173,556,2.5179856,0.014058154
509,166,156,537,2.3612664,0.013500603
510,173,167,547,2.4826326,0.013752012
511,167,162,553,2.499096,0.013780901
512,145,154,558,2.5197132,0.013905503
513,151,152,549,2.4590163,0.013544519
514,159,136,548,2.4635036,0.013519848
515,154,173,571,2.591944,0.013965319
516,156,157,552,2.3550725,0.013500623
517,175,173,551,2.4392014,0.013342696
518,162,151,553,2.3616636,0.013507572
519,180,187,564,2.5815604,0.013657497
520,178,173,557,2.3482945,0.013487989
521,178,178,562,2.4483986,0.013474956
522,178,141,562,2.441281,0.013533038
523,164,187,599,2.5976627,0.014300721
524,181,155,576,2.3125,0.013751611
525,204,191,602,2.5880399,0.014231678
526,182,194,615,2.614634,0.014601139
527,205,168,603,2.4212272,0.014194915
528,193,224,640,2.625,0.015065913
529,196,177,609,2.272578,0.014196797
530,192,219,628,2.633758,0.014639718
531,209,167,601,2.342762,0.013951437
532,190,227,643,2.6842923,0.014863959
533,184,184,606,2.3894389,0.013931675
534,196,167,606,2.3630364,0.013931675
535,194,201,635,2.5574803,0.014537546
536,201,196,628,2.4840765,0.014317633
537,196,183,633,2.515008,0.014352765
538,192,228,646,2.622291,0.014647529
539,202,166,610,2.347541,0.013774104
540,192,204,646,2.6594427,0.014587003
541,225,183,634,2.4479494,0.014238232
542,187,257,676,2.7633135,0.015181459
543,189,212,606,2.3663366,0.013553409
544,173,152,583,2.4116638,0.013039005
545,174,187,604,2.4966888,0.013435658
546,181,169,591,2.4399323,0.01314648
547,175,184,603,2.5903814,0.01335844
548,181,177,594,2.4949496,0.013159061
549,170,183,598,2.5585284,0.01317645
550,182,155,585,2.3965812,0.0128900055
551,159,179,612,2.7026143,0.0134298885
552,165,160,592,2.4594595,0.012991003
553,165,173,597,2.592965,0.013030667
554,179,159,589,2.509338,0.012856051
555,181,179,609,2.6305418,0.013238555
556,192,167,611,2.5139117,0.013211383
557,218,202,636,2.5786164,0.013679184
558,188,204,652,2.6717792,0.014023315
559,209,204,636,2.509434,0.013623803
560,163,177,641,2.521061,0.013658641
561,193,167,627,2.4242425,0.013290375
562,169,186,653,2.7013783,0.01384149
563,177,177,636,2.5597484,0.013426786
564,196,186,636,2.5849056,0.013356855
565,193,196,646,2.6408668,0.013496574
566,201,194,643,2.6127527,0.013433896
567,167,202,650,2.6492307,0.013525605
568,192,172,615,2.4097562,0.012731338
569,184,195,635,2.6740158,0.013077953
570,180,166,624,2.5160255,0.012851406
571,184,175,638,2.6112852,0.0130871795
572,174,187,647,2.6120555,0.013204082
573,188,174,634,2.5015774,0.012873096
574,193,188,648,2.6419754,0.01315736
575,188,214,653,2.5727413,0.013206059
576,201,186,627,2.4816587,0.012616202
577,169,209,642,2.7009346,0.01285311
578,193,162,602,2.4916945,0.012052293
579,176,189,633,2.748815,0.012622637
580,202,165,620,2.467742,0.0123015875
581,213,223,657,2.7549467,0.01297086
582,194,188,647,2.6120555,0.012773435
583,187,237,653,2.6860642,0.012840934
584,192,176,603,2.411277,0.011799006
585,171,186,619,2.6494346,0.012052415
586,193,178,604,2.5231788,0.011760354
587,191,182,619,2.6042004,0.012004965
588,210,175,628,2.5700636,0.012119808
589,203,207,663,2.7843137,0.01273286
590,189,228,659,2.764795,0.01265604
591,193,212,620,2.5677419,0.011860354
592,185,174,601,2.4625623,0.011441081
593,168,181,612,2.6111112,0.011594203
594,188,159,599,2.497496,0.011347921
595,197,212,628,2.7038217,0.011850845
596,195,164,613,2.4404569,0.01151217
597,184,222,644,2.7515528,0.012036483
598,200,174,606,2.49835,0.011326256
599,177,186,632,2.664557,0.011766239
600,192,180,623,2.4687,0.01154345
601,177,205,635,2.633071,0.011710034
602,169,181,607,2.5008237,0.011193686
603,160,178,595,2.5478992,0.010929865
604,153,144,577,2.3258233,0.010549217
605,141,164,586,2.556314,0.010663464
606,136,158,563,2.454707,0.010244932
607,144,144,541,2.4251387,0.009806587
608,137,121,541,2.3992605,0.009760762
609,134,157,557,2.502693,0.010002694
610,152,131,534,2.3108613,0.009589656
611,140,150,555,2.536937,0.0099284435
612,149,141,545,2.374312,0.009704416
613,135,152,553,2.4810126,0.009801488
614,142,136,536,2.3955224,0.009500178
615,158,135,542,2.4243543,0.009569716
616,152,127,565,2.5345132,0.00993005
617,146,162,590,2.6305084,0.010322084
618,143,134,574,2.358885,0.010042164
619,165,141,583,2.4802744,0.010160688
620,176,176,607,2.5897858,0.01049084
621,182,173,607,2.4546952,0.01044337
622,208,190,616,2.5422077,0.010598214
623,200,191,634,2.5962145,0.010866584
624,174,191,643,2.5878694,0.010971199
625,167,172,626,2.4696486,0.010633239
626,180,180,621,2.4863124,0.0105483085
627,187,163,621,2.4186795,0.0105483085
628,181,209,645,2.6418605,0.010907061
629,184,161,617,2.4181523,0.0104267
630,182,173,640,2.56875,0.010815378
631,213,156,649,2.5454545,0.010925926
632,198,214,706,2.7733712,0.011788279
633,220,210,690,2.5855072,0.011470368
634,238,207,700,2.642857,0.0116366055
635,226,214,731,2.6867306,0.012060915
636,223,235,743,2.667564,0.012251022
637,227,245,731,2.640219,0.012000525
638,219,218,713,2.57784,0.011749197
639,228,218,714,2.554622,0.011721443
640,225,244,724,2.6574585,0.011833932
641,210,185,705,2.5333333,0.011516785
642,218,239,730,2.750685,0.01188035
643,216,204,709,2.448519,0.011495371
644,212,224,721,2.6546464,0.011639546
645,213,191,709,2.5105784,0.011396699
646,227,210,731,2.6101232,0.011750334
647,244,215,748,2.6283422,0.011978733
648,251,270,777,2.7516088,0.012389973
649,247,265,758,2.630607,0.012035566
650,231,244,740,2.5945945,0.011749762
651,231,236,727,2.591472,0.011500435
652,208,238,722,2.6952908,0.011415381
653,250,205,692,2.4537573,0.010854391
654,210,246,737,2.7272727,0.011560241
655,239,204,701,2.4479315,0.010954836
656,224,240,736,2.7608695,0.011496048
657,230,207,720,2.5277777,0.011199079
658,211,228,743,2.716016,0.011556827
659,214,220,726,2.5757575,0.011250581
660,216,231,720,2.6444445,0.011111111
661,194,209,705,2.5503547,0.010794506
662,198,191,690,2.5246377,0.010564836
663,209,218,697,2.6657102,0.0105938325
664,185,216,688,2.5901163,0.010413828
665,199,164,657,2.4231355,0.009903677
666,217,219,692,2.7023122,0.01043127
667,210,203,690,2.568116,0.010363162
668,194,213,697,2.6025825,0.010425392
669,205,221,678,2.5280235,0.010099806
670,186,178,662,2.489426,0.009897585
671,210,188,670,2.5671642,0.009980635
672,204,207,692,2.6618497,0.010266453
673,194,210,689,2.5921626,0.010180561
674,204,191,673,2.5052006,0.009944147
675,207,195,686,2.5772595,0.010099375
676,199,197,698,2.7077365,0.010234604
677,193,216,700,2.6314285,0.010222709
678,218,221,677,2.5819793,0.00988682
679,203,231,674,2.6795251,0.009771939
680,208,190,646,2.4767802,0.00932852
681,190,213,664,2.698795,0.009515894
682,178,179,641,2.471139,0.009186276
683,198,175,640,2.49375,0.009106431
684,199,197,663,2.642534,0.009396259
